productID,productName,category,brand,price,cost,stockQuantity,isActive
1,ThinkPad X1 Carbon,Laptops,Lenovo,1250.00,980.00,0,true
2,Laptop Sleeve 14,Accessories,Generic,25.50,10.00,0,true
3,MX Keys,Keyboards,Logitech,89.99,55.00,12,true
4,UltraSharp 27,Monitors,Dell,320.00,240.00,40,true
5,Portable SSD T7 1TB,Storage,Samsung,74.00,52.00,0,true
6,WH-1000XM5,Audio,Sony,299.00,220.00,5,true
7,MacBook Air 13,Laptops,Apple,1100.00,900.00,25,true
8,Aspire 5,Laptops,Acer,620.00,500.00,15,true
9,ZenBook 14,Laptops,ASUS,890.00,720.00,40,true
10,iPhone 15,Phones,Apple,799.00,650.00,0,true
11,Galaxy S24,Phones,Samsung,699.00,540.00,5,true
12,Redmi Note 13,Phones,Xiaomi,249.00,190.00,30,true
13,Pixel 8,Phones,Google,599.00,470.00,20,true
14,iPad 10th gen,Tablets,Apple,449.00,360.00,25,true
15,Galaxy Tab S9,Tablets,Samsung,480.00,380.00,20,true
16,Odyssey G5 32,Monitors,Samsung,349.00,260.00,25,true
17,ProArt 24,Monitors,ASUS,280.00,210.00,0,true
18,K380,Keyboards,Logitech,39.99,22.00,15,false
19,Huntsman Mini,Keyboards,Razer,119.00,75.00,12,true
20,MX Master 3S,Accessories,Logitech,99.00,60.00,0,true
21,M185,Accessories,Logitech,14.99,7.00,25,true
22,USB-C Hub 7-in-1,Accessories,Anker,45.00,25.00,12,true
23,Expansion HDD 2TB,Storage,Seagate,64.00,45.00,25,true
24,USB Flash 128GB,Storage,SanDisk,14.50,8.00,8,true
25,AirPods Pro,Audio,Apple,249.00,190.00,40,true
26,Soundcore Q30,Audio,Anker,79.00,48.00,60,true
27,Flip 6,Audio,JBL,129.00,85.00,3,true
28,C920,Webcams,Logitech,59.00,38.00,5,true
29,Brio 4K,Webcams,Logitech,149.00,100.00,30,true
30,PIXMA TS3450,Printers,Canon,210.00,150.00,0,true
31,LaserJet M110,Printers,HP,149.00,105.00,15,true
32,USB-C Cable 1m,Cables,Anker,9.90,3.00,0,true
33,HDMI 2.1 Cable 2m,Cables,Generic,12.90,4.00,3,true
34,Lightning Cable,Cables,Apple,19.00,8.00,3,true
35,Ergonomic Chair Pro,Chairs,Generic,185.00,120.00,6,true
36,Archer AX55 Router,Networking,TP-Link,89.00,60.00,12,true
37,Powerline Kit,Networking,TP-Link,55.00,35.00,8,true
